id,user_id,event_id,star_rating
88,cn5w7vJivCOIEHkKGkeU6mfnDij2,13,5
93,WzNlYkObyCMacim04R4Jyy37t233,13,4
96,NfZHjNQJbiZbfvWbN2NIaRlOM3H3,14,5
97,mS4CSOd5SDdOHKN1ufGJ4cY2u7B2,14,4
100,WHdqZqWqfHPRcsAyFv76Bfb0eHp2,14,5
99,Aa4qzSLw0vOvIuwSYEjZcnzu5rF3,14,4
101,UL6hVtJ7XhaZCYcfJgVHr34DqMt1,14,4
103,d6uSBd4ZVpRmT4K97EBxiRSNHh83,14,5
98,Dniqf4qYJ5Plrw9gjcDMB1jTZYc2,14,4
102,coq3KJjaboeYYLqxNWj17WMUmtV2,14,5
107,VURvllrc4QYAaYIGrZ3uEFLrmmo1,14,2
95,YlBLJdO7ugZgaOAE75TnJ8du3Ky1,14,5
109,j6xxOIRfj3ZE92NwgvVjsRZ3T7o2,14,5
112,PFAbuLcxeHbTt3dsRr8bBFWpCYJ2,14,5
116,KzcWRNnvwSPGt8Se5O2ZyJKNlTX2,18,5
119,qqVAASFC3gWQTG1f17VitG6SZRa2,18,5
120,B3weTyY8S7gobqUwJ2GiVEkRvy72,18,2
121,d6uSBd4ZVpRmT4K97EBxiRSNHh83,18,5
117,IEznP69p2LfRZZNdyCG0Kb5X40D3,18,5
118,ald4v9Rmhqg4d0Redwq5KgQuRfE2,18,5
125,K8cIzKuAU1btqLzwSBYsxPxAERi1,18,5
127,v4bYPy35LSbCmwa0yHjmYhNape12,18,5
131,dRzrJPQhqLWoT0HRJ7pzunKEXfK2,19,5
132,tUzSGZOMTAhhG5dv7s82pYdXr803,19,5
133,cGGhn5TcovaKXP1xDFiU583DIsz1,19,5
136,KzcWRNnvwSPGt8Se5O2ZyJKNlTX2,19,5
149,dndFaJnHCSW5wX86mWxecIUB6Eo2,20,5
151,ciH13ep9QRViTXVAScLRDDZMnM03,20,5
152,lB0k96IXMbgNAVrxynCgmC2PiKk2,20,5
153,pufUwu4Ha9dyBomf1RqRqFP8PpF2,20,5
156,pkW1MWwMPWagqxIKA8ZeIijcG4I3,20,4
157,nxNUIjtX6TTSBZUM2nIgw3gBfzN2,20,4
159,SAKch4qeNyXCaGUS0ijKMFdzRwD3,20,5
145,ehNVMqB1HtasgerYHk5HSmjyBx92,20,5
160,UhX4bfCizsN0hVNmzFrhUdKMrUg1,20,5
162,cgHwGGEzATVqxDlSZ9M2HIbtij32,21,5
164,KzcWRNnvwSPGt8Se5O2ZyJKNlTX2,21,5
166,IeSKCr2C9kWOV4Qe7ZKV9vn4n492,21,4
167,gn7ryC5HAkN22QpeCyboZq8vasD2,21,5
168,uUUI3lcWFGhY9GQXfCi6y7QTrJ22,21,5
169,jKONCPvgKbarBf0sHXFa6vkHpJr2,21,5
170,tg7ij2106aUxKFjscvuHD3lT9Bz2,21,5
173,3pynX5JMXGPDeCnoDtM3UmDLjf13,21,5
174,Dxg3m9E0uXWm1z3eQGCk5TzpVzi1,21,5
176,QUgpgRT4cofMryqLadwwNhL7pye2,21,5
178,HhDgAHk0T0YBZHod7BV5ZnjAIYu1,22,5
180,W7C6YzkeFpR6iB692hdFVw0Rthc2,22,4
182,ptsJeDPI8GbwY1EDaM6KlNJ5inK2,22,5
177,OE9peH4NXxY5jPhFwNZlLR5FJ7V2,22,4
183,rJOLWzu6b1dcCYiFZpRaGcn1OvC3,22,5
184,4aZbhG9ko7gfOtYhXzgGShEqjqj1,22,5
185,z7BLg71amNbBm752XovVJFipBi82,22,4
186,JmsayCY2mYPjdgdjbqtPXIDxhqu2,22,5
233,IOkzFc4W2vYnn13yYoS0T0Oqiv93,29,5
187,4pOmflUKXDMOzlyCb7mNHOlDxmB2,22,4
189,en5hARuPEmcfSWdbNdqkGQnxajl2,22,5
190,LytIZiWyFjdms3jRdMRG0awsHTM2,22,5
192,UTXhnWNonTPHqMiBtGMTxB1YYjb2,22,1
196,KzcWRNnvwSPGt8Se5O2ZyJKNlTX2,23,5
195,UdYya7lmoDbY6fpm2dEhN3E4TR43,23,5
197,TKIu6kn6FYNdup2QWdE9MXHN6zj2,23,2
198,oVW8mutILcOODX8C2evGGFF88Na2,23,2
203,Lq8EJXdzevexgZvGWqjmh2g8rSA2,23,4
205,YleORjjxSEbxtUnKo0nAAQ4lANc2,23,4
210,Nxv5m4TteWQdzFURyp0bdPYxbPQ2,23,3
212,bR4NR3auuvTNBRtvTh5fmU2eMit1,24,4
